Time,Amount
1981.17,0.49
1981.25,0.32
1981.33,0.24
1981.42,0.32
1981.5,0.34
1981.58,0.32
1981.67,0.17
1981.75,0.14
1981.83,0.24
1981.92,0.43
1982,0.1
1982.08,0.15
1982.17,-0.01
1982.25,0.1
1982.33,0.15
1982.42,0.05
1982.5,0.13
1982.58,0.07
1982.67,0.14
1982.75,0.13
1982.83,0.15
1982.92,0.43
1983,0.52
1983.08,0.41
1983.17,0.43
1983.25,0.31
1983.33,0.36
1983.42,0.2
1983.5,0.18
1983.58,0.33
1983.67,0.39
1983.75,0.16
1983.83,0.32
1983.92,0.17
1984,0.3
1984.08,0.17
1984.17,0.29
1984.25,0.08
1984.33,0.33
1984.42,0.05
1984.5,0.17
1984.58,0.16
1984.67,0.21
1984.75,0.16
1984.83,0.06
1984.92,-0.05
1985,0.22
1985.08,-0.06
1985.17,0.17
1985.25,0.11
1985.33,0.17
1985.42,0.18
1985.5,-0.01
1985.58,0.15
1985.67,0.15
1985.75,0.11
1985.83,0.08
1985.92,0.15
1986,0.28
1986.08,0.39
1986.17,0.27
1986.25,0.24
1986.33,0.24
1986.42,0.11
1986.5,0.11
1986.58,0.12
1986.67,0
1986.75,0.13
1986.83,0.11
1986.92,0.16
1987,0.36
1987.08,0.46
1987.17,0.16
1987.25,0.22
1987.33,0.25
1987.42,0.37
1987.5,0.45
1987.58,0.28
1987.67,0.39
1987.75,0.32
1987.83,0.25
1987.92,0.48
1988,0.58
1988.08,0.43
1988.17,0.51
1988.25,0.45
1988.33,0.43
1988.42,0.43
1988.5,0.34
1988.58,0.47
1988.67,0.41
1988.75,0.39
1988.83,0.12
1988.92,0.33
1989,0.15
1989.08,0.35
1989.17,0.36
1989.25,0.33
1989.33,0.16
1989.42,0.14
1989.5,0.34
1989.58,0.37
1989.67,0.37
1989.75,0.32
1989.83,0.2
1989.92,0.38
1990,0.41
1990.08,0.41
1990.17,0.77
1990.25,0.55
1990.33,0.46
1990.42,0.38
1990.5,0.43
1990.58,0.31
1990.67,0.29
1990.75,0.41
1990.83,0.46
1990.92,0.41
1991,0.41
1991.08,0.49
1991.17,0.35
1991.25,0.52
1991.33,0.38
1991.42,0.53
1991.5,0.48
1991.58,0.4
1991.67,0.48
1991.75,0.3
1991.83,0.31
1991.92,0.32
1992,0.44
1992.08,0.42
1992.17,0.48
1992.25,0.24
1992.33,0.32
1992.42,0.25
1992.5,0.12
1992.58,0.07
1992.67,0
1992.75,0.09
1992.83,0.03
1992.92,0.22
1993,0.37
1993.08,0.39
1993.17,0.36
1993.25,0.27
1993.33,0.27
1993.42,0.25
1993.5,0.28
1993.58,0.13
1993.67,0.1
1993.75,0.22
1993.83,0.06
1993.92,0.16
1994,0.27
1994.08,0.02
1994.17,0.27
1994.25,0.4
1994.33,0.28
1994.42,0.42
1994.5,0.3
1994.58,0.21
1994.67,0.29
1994.75,0.41
1994.83,0.46
1994.92,0.36
1995,0.51
1995.08,0.78
1995.17,0.45
1995.25,0.47
1995.33,0.26
1995.42,0.41
1995.5,0.48
1995.58,0.46
1995.67,0.32
1995.75,0.47
1995.83,0.45
1995.92,0.28
1996,0.25
1996.08,0.48
1996.17,0.32
1996.25,0.36
1996.33,0.27
1996.42,0.25
1996.5,0.35
1996.58,0.49
1996.67,0.25
1996.75,0.19
1996.83,0.41
1996.92,0.4
1997,0.31
1997.08,0.38
1997.17,0.53
1997.25,0.36
1997.33,0.36
1997.42,0.53
1997.5,0.35
1997.58,0.41
1997.67,0.53
1997.75,0.62
1997.83,0.65
1997.92,0.59
1998,0.6
1998.08,0.9
1998.17,0.63
1998.25,0.63
1998.33,0.69
1998.42,0.77
1998.5,0.68
1998.58,0.66
1998.67,0.42
1998.75,0.44
1998.83,0.49
1998.92,0.56
1999,0.48
1999.08,0.65
1999.17,0.34
1999.25,0.32
1999.33,0.31
1999.42,0.37
1999.5,0.37
1999.58,0.31
1999.67,0.41
1999.75,0.39
1999.83,0.38
1999.92,0.43
2000,0.23
2000.08,0.56
2000.17,0.57
2000.25,0.57
2000.33,0.36
2000.42,0.41
2000.5,0.38
2000.58,0.42
2000.67,0.4
2000.75,0.28
2000.83,0.32
2000.92,0.29
2001,0.42
2001.08,0.43
2001.17,0.55
2001.25,0.5
2001.33,0.56
2001.42,0.54
2001.5,0.6
2001.58,0.48
2001.67,0.53
2001.75,0.5
2001.83,0.69
2001.92,0.55
2002,0.75
2002.08,0.75
2002.17,0.89
2002.25,0.56
2002.33,0.63
2002.42,0.55
2002.5,0.61
2002.58,0.53
2002.67,0.62
2002.75,0.55
2002.83,0.58
2002.92,0.43
2003,0.73
2003.08,0.55
2003.17,0.57
2003.25,0.53
